Date,Open,High,Low,Close,Adj Close,Volume
2024-04-26,1.072961,1.075292,1.067555,1.072961,1.072961,0.0
2024-04-29,1.070687,1.073537,1.069096,1.070687,1.070687,0.0
2024-04-30,1.07157,1.073653,1.068433,1.07157,1.07157,0.0
2024-05-01,1.066655,1.068867,1.065008,1.066655,1.066655,0.0
2024-05-02,1.072156,1.073076,1.067578,1.072156,1.072156,0.0
2024-05-03,1.073307,1.080941,1.072501,1.073307,1.073307,0.0
2024-05-06,1.075812,1.079214,1.075639,1.075812,1.075812,0.0
2024-05-07,1.076751,1.078981,1.075581,1.076751,1.076751,0.0
2024-05-08,1.075049,1.075847,1.073572,1.075049,1.075049,0.0
2024-05-09,1.074691,1.078283,1.072513,1.074691,1.074691,0.0
2024-05-10,1.078516,1.079331,1.076206,1.078516,1.078516,0.0
2024-05-13,1.077041,1.080731,1.076646,1.077041,1.077041,0.0
2024-05-14,1.079354,1.082837,1.077644,1.079354,1.079354,0.0
2024-05-15,1.081455,1.087429,1.081362,1.081455,1.081455,0.0
2024-05-16,1.088981,1.089681,1.085517,1.088981,1.088981,0.0
2024-05-17,1.086779,1.087891,1.083635,1.086779,1.086779,0.0
2024-05-20,1.087548,1.088495,1.085505,1.087548,1.087548,0.0
2024-05-21,1.086083,1.087548,1.084599,1.086083,1.086083,0.0
2024-05-22,1.085517,1.086484,1.082251,1.085517,1.085517,0.0
2024-05-23,1.08252,1.08613,1.081303,1.08252,1.08252,0.0
2024-05-24,1.081268,1.085658,1.080614,1.081268,1.081268,0.0
2024-05-27,1.084763,1.08672,1.084175,1.084763,1.084763,0.0
2024-05-28,1.086189,1.088945,1.085906,1.086189,1.086189,0.0
2024-05-29,1.085187,1.085894,1.080953,1.085187,1.085187,0.0
2024-05-30,1.080182,1.084599,1.0789,1.080182,1.080182,0.0
2024-05-31,1.083541,1.088258,1.081163,1.083541,1.083541,0.0
2024-06-03,1.085305,1.089087,1.082802,1.085305,1.085305,0.0
2024-06-04,1.090739,1.091822,1.086071,1.090739,1.090739,0.0
2024-06-05,1.088187,1.088992,1.086095,1.088187,1.088187,0.0
2024-06-06,1.087453,1.089871,1.086366,1.087453,1.087453,0.0
2024-06-07,1.089443,1.09018,1.080497,1.089443,1.089443,0.0
2024-06-10,1.077888,1.078283,1.073364,1.077888,1.077888,0.0
2024-06-11,1.076426,1.077354,1.07211,1.076426,1.076426,0.0
2024-06-12,1.074033,1.085175,1.073503,1.074033,1.074033,0.0
2024-06-13,1.081315,1.081783,1.075384,1.081315,1.081315,0.0
2024-06-14,1.073883,1.074576,1.066815,1.073883,1.073883,0.0
2024-06-17,1.070217,1.072616,1.068764,1.070217,1.070217,0.0
2024-06-18,1.074068,1.076125,1.071111,1.074068,1.074068,0.0
2024-06-19,1.074229,1.075327,1.072628,1.074229,1.074229,0.0
2024-06-20,1.075153,1.075038,1.070755,1.075153,1.075153,0.0
2024-06-21,1.070641,1.072271,1.06719,1.070641,1.070641,0.0
2024-06-24,1.068776,1.074703,1.068444,1.068776,1.068776,0.0
2024-06-25,1.073272,1.074576,1.069221,1.073272,1.073272,0.0
2024-06-26,1.070962,1.072041,1.066769,1.070962,1.070962,0.0
2024-06-27,1.068011,1.072616,1.067783,1.068011,1.068011,0.0
2024-06-28,1.070847,1.072099,1.068604,1.070847,1.070847,0.0
2024-07-01,1.073526,1.077819,1.072076,1.073526,1.073526,0.0
2024-07-02,1.07371,1.07461,1.071065,1.07371,1.07371,0.0
2024-07-03,1.074841,1.08156,1.07371,1.074841,1.074841,0.0
2024-07-04,1.079331,1.081666,1.078423,1.079331,1.079331,0.0
2024-07-05,,,,,,
2024-07-08,1.082603,1.084716,1.081514,1.082603,1.082603,0.0
2024-07-09,1.083095,1.083424,1.080625,1.083095,1.083095,0.0
2024-07-10,1.081479,1.082872,1.081186,1.081479,1.081479,0.0
2024-07-11,1.08333,1.089835,1.083295,1.08333,1.08333,0.0
2024-07-12,1.087276,1.091119,1.086307,1.087276,1.087276,0.0
2024-07-15,1.088554,1.092192,1.088435,1.088554,1.088554,0.0
2024-07-16,1.090156,1.090631,1.087216,1.090156,1.090156,0.0
2024-07-17,1.090251,1.094715,1.089633,1.090251,1.090251,0.0
2024-07-18,1.09402,1.094212,1.090536,1.09402,1.09402,0.0
2024-07-19,1.090156,1.090156,1.087737,1.090156,1.090156,0.0
2024-07-22,1.089918,1.090156,1.08737,1.089918,1.089918,0.0
2024-07-23,1.088981,1.090037,1.084446,1.088981,1.088981,0.0
2024-07-24,1.085069,1.086649,1.082673,1.085069,1.085069,0.0
2024-07-25,1.083952,1.086437,1.082931,1.083952,1.083952,0.0
